,ID_SAEB,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,CO_PROFESSOR,ID_SERIE,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,TX_RESP_Q052,TX_RESP_Q053,TX_RESP_Q054,TX_RESP_Q055,TX_RESP_Q056,TX_RESP_Q057,TX_RESP_Q058,TX_RESP_Q059,TX_RESP_Q060,TX_RESP_Q061,TX_RESP_Q062,TX_RESP_Q063,TX_RESP_Q064,TX_RESP_Q065,TX_RESP_Q066,TX_RESP_Q067,TX_RESP_Q068,TX_RESP_Q069,TX_RESP_Q070,TX_RESP_Q071,TX_RESP_Q072,TX_RESP_Q073,TX_RESP_Q074,TX_RESP_Q075,TX_RESP_Q076,TX_RESP_Q077,TX_RESP_Q078,TX_RESP_Q079,TX_RESP_Q080,TX_RESP_Q081,TX_RESP_Q082,TX_RESP_Q083,TX_RESP_Q084,TX_RESP_Q085,TX_RESP_Q086,TX_RESP_Q087,TX_RESP_Q088,TX_RESP_Q089,TX_RESP_Q090,TX_RESP_Q091,TX_RESP_Q092,TX_RESP_Q093,TX_RESP_Q094,TX_RESP_Q095,TX_RESP_Q096,TX_RESP_Q097,TX_RESP_Q098,TX_RESP_Q099,TX_RESP_Q100,TX_RESP_Q101,TX_RESP_Q102,TX_RESP_Q103,TX_RESP_Q104,TX_RESP_Q105,TX_RESP_Q106,TX_RESP_Q107,TX_RESP_Q108,TX_RESP_Q109,TX_RESP_Q110,TX_RESP_Q111,TX_RESP_Q112,TX_RESP_Q113,TX_RESP_Q114,TX_RESP_Q115,TX_RESP_Q116,TX_RESP_Q117,TX_RESP_Q118,TX_RESP_Q119,TX_RESP_Q120,TX_RESP_Q121,TX_RESP_Q122,TX_RESP_Q123,TX_RESP_Q124,TX_RESP_Q125,TX_RESP_Q126,TX_RESP_Q127,TX_RESP_Q128
87857,2019,2,24,2408102,1,24060283,3,1,1016293,2019227015,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,E,E,D,E,,,,,,
87858,2019,2,24,2408102,1,24060283,3,1,1147771,2019052375,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87859,2019,2,24,2408102,1,24060283,3,1,1147771,2019227015,9,1,F,G,F,B,A,C,B,A,C,B,B,C,B,C,D,B,C,B,A,B,C,C,C,A,B,A,A,D,D,B,C,C,E,A,C,C,C,C,E,D,B,D,D,C,D,D,B,C,D,D,C,C,D,B,A,D,D,D,A,A,A,C,C,C,B,B,B,B,B,B,B,B,B,A,C,C,C,C,C,D,D,D,D,D,D,D,D,D,C,D,D,D,B,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,D,D,F,E,E,F,F,D,D,E,E,D,E,,,,,,
87860,2019,2,24,2408102,1,24060283,3,1,1198104,2019135094,5,1,A,D,C,B,A,D,B,C,C,C,B,C,B,C,D,D,C,D,D,C,D,D,B,B,D,B,A,C,D,A,C,D,D,E,A,A,C,C,E,D,B,D,D,D,D,D,D,C,D,D,D,D,D,A,A,B,B,C,A,A,A,D,D,D,C,D,D,C,B,B,B,B,D,B,C,C,C,C,C,C,C,C,C,C,D,C,C,C,B,C,C,C,B,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,F,F,F,E,E,F,F,E,E,F,F,E,F,F,F,F,F,F,F
87861,2019,2,24,2408102,1,24060291,3,1,993472,2019070750,5,1,A,G,C,A,A,D,B,B,C,C,B,C,C,C,D,B,D,D,,D,D,D,A,A,A,A,A,B,A,A,A,C,D,D,D,A,D,C,E,D,D,D,D,D,D,D,B,C,D,D,D,D,B,A,A,C,B,C,A,A,A,C,D,D,C,D,D,B,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,D,D,B,D,D,D,B,C,C,D,C,C,C,A,A,A,A,A,A,A,A,A,A,E,F,F,C,F,F,E,D,D,F,E,D,E,E,E,E,E,E,E
87862,2019,2,24,2408102,1,24060291,3,1,1086009,2019083899,5,1,C,E,E,A,A,C,B,B,C,D,B,C,C,C,C,B,B,D,B,C,D,C,A,B,C,A,A,C,D,C,C,D,D,D,A,A,A,A,C,B,B,D,D,D,D,D,C,D,D,D,B,D,B,A,A,C,C,C,A,A,A,C,D,D,C,C,C,A,D,A,A,A,A,A,C,C,C,C,B,C,C,D,D,C,D,C,D,C,B,D,D,C,A,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,F,F,D,C,F,F,E,E,E,E,E,C,E,F,E,E,E,E,E
87863,2019,2,24,2408102,1,24060291,3,1,1109819,2019228431,5,1,C,G,E,B,A,C,B,B,B,B,B,C,C,D,D,C,D,D,B,B,D,D,A,A,A,A,A,A,A,A,A,C,D,C,C,C,D,C,E,B,B,C,D,D,D,D,B,C,B,C,C,C,B,C,B,B,C,B,B,A,A,C,C,C,B,C,C,A,A,A,A,C,B,A,C,C,C,C,C,C,A,A,A,C,C,C,C,C,B,B,D,D,B,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,E,E,E,D,F,E,D,D,F,F,E,E,E,E,E,E,E,E,E
87864,2019,2,24,2408102,1,24060291,3,1,1155439,2019130565,5,1,B,C,C,A,A,C,B,B,C,C,B,C,C,C,D,C,D,B,B,B,D,C,A,B,C,A,A,C,D,C,C,D,D,D,A,A,A,A,D,B,D,D,D,D,D,D,C,D,D,D,B,D,B,A,A,C,C,C,A,A,A,C,D,D,C,C,C,A,D,A,A,A,A,A,C,C,C,C,B,C,C,D,D,C,D,C,D,C,B,D,D,C,A,C,C,C,D,C,C,A,A,A,A,A,A,A,A,A,A,F,F,E,C,F,F,E,E,E,E,E,C,E,F,E,E,E,E,E
87865,2019,2,24,2408102,1,24060305,3,1,1062545,2019052918,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87866,2019,2,24,2408102,1,24060305,3,1,1062545,2019071485,9,1,A,E,E,A,A,C,C,C,C,C,B,B,B,D,C,B,C,C,A,A,B,C,D,C,C,B,B,C,C,C,C,C,C,D,B,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,D,C,C,A,A,A,D,C,C,D,D,C,C,B,A,A,B,B,A,C,C,C,C,C,C,C,D,C,C,C,C,D,D,B,C,C,C,B,C,C,C,D,C,C,B,A,A,A,A,A,A,A,A,A,F,F,D,B,F,F,E,,,,,,,F,F,F,D,E,E
