CO_UF,NO_UF,CO_MUNICIPIO,NO_MUNICIPIO,DEPENDENCIA_ADM,LOCALIZACAO,MEDIA_5_LP,MEDIA_5_MT,MEDIA_9_LP,MEDIA_9_MT,MEDIA_12_LP,MEDIA_12_MT,nivel_0_LP5,nivel_1_LP5,nivel_2_LP5,nivel_3_LP5,nivel_4_LP5,nivel_5_LP5,nivel_6_LP5,nivel_7_LP5,nivel_8_LP5,nivel_9_LP5,nivel_0_MT5,nivel_1_MT5,nivel_2_MT5,nivel_3_MT5,nivel_4_MT5,nivel_5_MT5,nivel_6_MT5,nivel_7_MT5,nivel_8_MT5,nivel_9_MT5,nivel_10_MT5,nivel_0_LP9,nivel_1_LP9,nivel_2_LP9,nivel_3_LP9,nivel_4_LP9,nivel_5_LP9,nivel_6_LP9,nivel_7_LP9,nivel_8_LP9,nivel_0_MT9,nivel_1_MT9,nivel_2_MT9,nivel_3_MT9,nivel_4_MT9,nivel_5_MT9,nivel_6_MT9,nivel_7_MT9,nivel_8_MT9,nivel_9_MT9,nivel_0_LP12,nivel_1_LP12,nivel_2_LP12,nivel_3_LP12,nivel_4_LP12,nivel_5_LP12,nivel_6_LP12,nivel_7_LP12,nivel_8_LP12,nivel_0_MT12,nivel_1_MT12,nivel_2_MT12,nivel_3_MT12,nivel_4_MT12,nivel_5_MT12,nivel_6_MT12,nivel_7_MT12,nivel_8_MT12,nivel_9_MT12,nivel_10_MT12
24,Rio Grande do Norte,2411502,Santo Antônio,"Total - Federal, Estadual, Municipal e Privada",Total,"189,18","200,55","241,34","245,72",,,"6,91","15,8","17,08","20,08","18,37","11,85","7,57","1,1","0,83","0,41","1,28","7,01","21,24","22,39","21,74","15,75","7,05","2,72","0,41","0,41",0,"20,91","17,89","19,56","18,08","13,37","5,12","4,07","0,99",0,"16,14","16,28","20,83","20,95","12,81","9,35","3,16","0,48",0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2411502,Santo Antônio,"Total - Federal, Estadual, Municipal e Privada",Urbana,"190,48","201,1","240,22","244,4",,,"6,21","15,49","17,81","20,18","17,39","12,07","8,29","1,21","0,91","0,45","1,4","7,23","20,08","23,17","21,08","15,43","7,72","2,98","0,45","0,45",0,"19,89","20,27","19,79","17,63","12,78","5,33","3,19","1,12",0,"17,81","15,59","21,7","18,99","12,61","9,64","3,11","0,55",0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2411601,São Bento do Norte,Estadual,Total,,,"229,36","244,36","248,69","249,11",,,,,,,,,,,,,,,,,,,,,,"26,57","17,57","31,29","11,29","8,86","4,43",0,0,0,"8,71","17,43","31,29","22,43","15,71","4,43",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2411601,São Bento do Norte,Estadual,Urbana,,,"229,36","244,36","248,69","249,11",,,,,,,,,,,,,,,,,,,,,,"26,57","17,57","31,29","11,29","8,86","4,43",0,0,0,"8,71","17,43","31,29","22,43","15,71","4,43",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2411601,São Bento do Norte,Municipal,Rural,"160,07","178,05",,,,,"21,62","21,62","27,03","10,81","13,51","2,7","2,7",0,0,0,"2,7","24,32","18,92","27,03","16,22","10,81",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2411601,São Bento do Norte,Municipal,Total,"166,94","180,04","225,96","228,13",,,"19,05","17,91","24,4","18,35","11,02","4,64","3,51","1,14",0,0,"2,67","16,57","28,72","26,06","15,36","8,35","2,27",0,0,0,0,"29,17","13,61","28,61","20,83","5,28","2,5",0,0,0,"26,94","18,06","26,67","18,33",10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2411601,São Bento do Norte,Municipal,Urbana,"172,71","181,7","225,96","228,13",,,"16,88","14,79","22,18","24,68","8,92","6,27","4,18","2,09",0,0,"2,65","10,05","36,97","25,24","14,64","6,27","4,18",0,0,0,0,"29,17","13,61","28,61","20,83","5,28","2,5",0,0,0,"26,94","18,06","26,67","18,33",10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2411601,São Bento do Norte,Total - Estadual e Municipal,Rural,"160,07","178,05",,,,,"21,62","21,62","27,03","10,81","13,51","2,7","2,7",0,0,0,"2,7","24,32","18,92","27,03","16,22","10,81",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2411601,São Bento do Norte,Total - Estadual e Municipal,Total,"166,94","180,04","227,91","237,4","248,69","249,11","19,05","17,91","24,4","18,35","11,02","4,64","3,51","1,14",0,0,"2,67","16,57","28,72","26,06","15,36","8,35","2,27",0,0,0,0,"27,68","15,87","30,14","15,38","7,32","3,6",0,0,0,"16,53","17,7","29,31","20,67","13,27","2,53",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2411601,São Bento do Norte,Total - Estadual e Municipal,Urbana,"172,71","181,7","227,91","237,4","248,69","249,11","16,88","14,79","22,18","24,68","8,92","6,27","4,18","2,09",0,0,"2,65","10,05","36,97","25,24","14,64","6,27","4,18",0,0,0,0,"27,68","15,87","30,14","15,38","7,32","3,6",0,0,0,"16,53","17,7","29,31","20,67","13,27","2,53",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2411601,São Bento do Norte,"Total - Federal, Estadual e Municipal",Rural,"160,07","178,05",,,,,"21,62","21,62","27,03","10,81","13,51","2,7","2,7",0,0,0,"2,7","24,32","18,92","27,03","16,22","10,81",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2411601,São Bento do Norte,"Total - Federal, Estadual e Municipal",Total,"166,94","180,04","227,91","237,4","248,69","249,11","19,05","17,91","24,4","18,35","11,02","4,64","3,51","1,14",0,0,"2,67","16,57","28,72","26,06","15,36","8,35","2,27",0,0,0,0,"27,68","15,87","30,14","15,38","7,32","3,6",0,0,0,"16,53","17,7","29,31","20,67","13,27","2,53",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2411601,São Bento do Norte,"Total - Federal, Estadual e Municipal",Urbana,"172,71","181,7","227,91","237,4","248,69","249,11","16,88","14,79","22,18","24,68","8,92","6,27","4,18","2,09",0,0,"2,65","10,05","36,97","25,24","14,64","6,27","4,18",0,0,0,0,"27,68","15,87","30,14","15,38","7,32","3,6",0,0,0,"16,53","17,7","29,31","20,67","13,27","2,53",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2411601,São Bento do Norte,"Total - Federal, Estadual, Municipal e Privada",Rural,"160,07","178,05",,,,,"21,62","21,62","27,03","10,81","13,51","2,7","2,7",0,0,0,"2,7","24,32","18,92","27,03","16,22","10,81",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2411601,São Bento do Norte,"Total - Federal, Estadual, Municipal e Privada",Total,"166,94","180,04","227,91","237,4","248,69","249,11","19,05","17,91","24,4","18,35","11,02","4,64","3,51","1,14",0,0,"2,67","16,57","28,72","26,06","15,36","8,35","2,27",0,0,0,0,"27,68","15,87","30,14","15,38","7,32","3,6",0,0,0,"16,53","17,7","29,31","20,67","13,27","2,53",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2411601,São Bento do Norte,"Total - Federal, Estadual, Municipal e Privada",Urbana,"172,71","181,7","227,91","237,4","248,69","249,11","16,88","14,79","22,18","24,68","8,92","6,27","4,18","2,09",0,0,"2,65","10,05","36,97","25,24","14,64","6,27","4,18",0,0,0,0,"27,68","15,87","30,14","15,38","7,32","3,6",0,0,0,"16,53","17,7","29,31","20,67","13,27","2,53",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2411700,São Bento do Trairí,Estadual,Total,"191,51","208,51","225,94","222,65",,,"3,33","26,67","13,33","13,33",20,10,"3,33","6,67","3,33",0,0,"6,67","23,33","13,33","26,67","16,67","6,67","6,67",0,0,0,"41,67","12,5","20,83","4,17","8,33","8,33","4,17",0,0,"37,5","12,5","16,67","16,67","12,5",0,0,"4,17",0,0,,,,,,,,,,,,,,,,,,,,
