,ID_SAEB,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,PC_FORMACAO_DOCENTE_INICIAL,PC_FORMACAO_DOCENTE_FINAL,PC_FORMACAO_DOCENTE_MEDIO,NIVEL_SOCIO_ECONOMICO,NU_MATRICULADOS_CENSO_5EF,NU_PRESENTES_5EF,TAXA_PARTICIPACAO_5EF,NIVEL_0_LP5,NIVEL_1_LP5,NIVEL_2_LP5,NIVEL_3_LP5,NIVEL_4_LP5,NIVEL_5_LP5,NIVEL_6_LP5,NIVEL_7_LP5,NIVEL_8_LP5,NIVEL_9_LP5,NIVEL_0_MT5,NIVEL_1_MT5,NIVEL_2_MT5,NIVEL_3_MT5,NIVEL_4_MT5,NIVEL_5_MT5,NIVEL_6_MT5,NIVEL_7_MT5,NIVEL_8_MT5,NIVEL_9_MT5,NIVEL_10_MT5,NU_MATRICULADOS_CENSO_9EF,NU_PRESENTES_9EF,TAXA_PARTICIPACAO_9EF,NIVEL_0_LP9,NIVEL_1_LP9,NIVEL_2_LP9,NIVEL_3_LP9,NIVEL_4_LP9,NIVEL_5_LP9,NIVEL_6_LP9,NIVEL_7_LP9,NIVEL_8_LP9,NIVEL_0_MT9,NIVEL_1_MT9,NIVEL_2_MT9,NIVEL_3_MT9,NIVEL_4_MT9,NIVEL_5_MT9,NIVEL_6_MT9,NIVEL_7_MT9,NIVEL_8_MT9,NIVEL_9_MT9,NU_MATRICULADOS_CENSO_EMT,NU_PRESENTES_EMT,TAXA_PARTICIPACAO_EMT,NIVEL_0_LPEMT,NIVEL_1_LPEMT,NIVEL_2_LPEMT,NIVEL_3_LPEMT,NIVEL_4_LPEMT,NIVEL_5_LPEMT,NIVEL_6_LPEMT,NIVEL_7_LPEMT,NIVEL_8_LPEMT,NIVEL_0_MTEMT,NIVEL_1_MTEMT,NIVEL_2_MTEMT,NIVEL_3_MTEMT,NIVEL_4_MTEMT,NIVEL_5_MTEMT,NIVEL_6_MTEMT,NIVEL_7_MTEMT,NIVEL_8_MTEMT,NIVEL_9_MTEMT,NIVEL_10_MTEMT,NU_MATRICULADOS_CENSO_EMI,NU_PRESENTES_EMI,TAXA_PARTICIPACAO_EMI,NIVEL_0_LPEMI,NIVEL_1_LPEMI,NIVEL_2_LPEMI,NIVEL_3_LPEMI,NIVEL_4_LPEMI,NIVEL_5_LPEMI,NIVEL_6_LPEMI,NIVEL_7_LPEMI,NIVEL_8_LPEMI,NIVEL_0_MTEMI,NIVEL_1_MTEMI,NIVEL_2_MTEMI,NIVEL_3_MTEMI,NIVEL_4_MTEMI,NIVEL_5_MTEMI,NIVEL_6_MTEMI,NIVEL_7_MTEMI,NIVEL_8_MTEMI,NIVEL_9_MTEMI,NIVEL_10_MTEMI,NU_MATRICULADOS_CENSO_EM,NU_PRESENTES_EM,TAXA_PARTICIPACAO_EM,NIVEL_0_LPEM,NIVEL_1_LPEM,NIVEL_2_LPEM,NIVEL_3_LPEM,NIVEL_4_LPEM,NIVEL_5_LPEM,NIVEL_6_LPEM,NIVEL_7_LPEM,NIVEL_8_LPEM,NIVEL_0_MTEM,NIVEL_1_MTEM,NIVEL_2_MTEM,NIVEL_3_MTEM,NIVEL_4_MTEM,NIVEL_5_MTEM,NIVEL_6_MTEM,NIVEL_7_MTEM,NIVEL_8_MTEM,NIVEL_9_MTEM,NIVEL_10_MTEM,MEDIA_5EF_LP,MEDIA_5EF_MT,MEDIA_9EF_LP,MEDIA_9EF_MT,MEDIA_EMT_LP,MEDIA_EMT_MT,MEDIA_EMI_LP,MEDIA_EMI_MT,MEDIA_EM_LP,MEDIA_EM_MT
18009,2019,2,24,2405603,2,24033120,3,1,100.0,,,N�vel III,34.0,32.0,0.9411764706,0.0,9.38,12.5,21.88,31.25,12.5,12.5,0.0,0.0,0.0,0.0,3.13,15.63,21.88,31.25,12.5,15.63,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.11,206.77,,,,,,,,
18010,2019,2,24,2405603,2,24033227,3,1,100.0,,,N�vel III,34.0,32.0,0.9411764706,30.0,19.22,11.76,6.27,12.16,17.65,2.94,0.0,0.0,0.0,10.0,16.67,15.49,22.16,15.1,14.71,5.88,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.01,182.99,,,,,,,,
18011,2019,2,24,2405603,2,24070440,3,1,100.0,,,N�vel III,55.0,49.0,0.8909090909,8.33,8.18,16.67,18.79,18.71,10.53,8.26,6.29,4.24,0.0,4.17,8.33,12.35,16.74,26.82,14.7,8.48,4.24,0.0,4.17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.28,208.39,,,,,,,,
18012,2019,2,24,2405702,2,24036420,2,1,,66.7,77.3,N�vel IV,,,,,,,,,,,,,,,,,,,,,,,,,32.0,27.0,0.84375,3.7,3.7,11.11,11.11,22.22,25.93,11.11,11.11,0.0,0.0,0.0,14.81,37.04,22.22,22.22,3.7,0.0,0.0,0.0,53.0,42.0,0.7924528302,,,,,,,,,,,,,,,,,,,,,31.0,27.0,0.8709677419,18.52,3.7,18.52,22.22,18.52,7.41,11.11,0.0,0.0,18.52,3.7,18.52,29.63,7.41,14.81,7.41,0.0,0.0,0.0,0.0,84.0,69.0,0.8214285714,34.12,7.04,17.21,14.31,14.8,6.99,5.52,0.0,0.0,23.97,13.59,24.52,21.09,6.99,7.1,2.73,0.0,0.0,0.0,0.0,,,294.34,279.5,,,282.38,280.14,259.25,258.72
18013,2019,2,24,2405702,2,24036617,3,1,83.0,42.4,,N�vel III,42.0,40.0,0.9523809524,5.86,7.52,20.89,23.19,18.98,16.69,6.88,0.0,0.0,0.0,0.0,12.74,8.15,26.12,21.91,16.05,15.03,0.0,0.0,0.0,0.0,43.0,38.0,0.8837209302,21.44,11.75,20.05,17.01,16.6,2.63,7.89,2.63,0.0,13.97,5.67,25.72,21.86,11.34,13.56,2.63,5.26,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.57,202.62,247.82,257.12,,,,,,
18014,2019,2,24,2405702,2,24065650,2,1,100.0,77.8,,N�vel IV,26.0,23.0,0.8846153846,0.0,13.04,8.7,8.7,21.74,21.74,8.7,17.39,0.0,0.0,0.0,8.7,4.35,8.7,30.43,13.04,30.43,4.35,0.0,0.0,0.0,10.0,8.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.53,220.74,,,,,,,,
18015,2019,2,24,2405702,2,24073334,3,1,100.0,66.7,,N�vel III,18.0,18.0,1.0,0.0,16.67,22.22,22.22,5.56,16.67,11.11,5.56,0.0,0.0,0.0,0.0,5.56,27.78,22.22,22.22,22.22,0.0,0.0,0.0,0.0,17.0,16.0,0.9411764706,18.75,25.0,12.5,18.75,18.75,0.0,0.0,6.25,0.0,0.0,25.0,37.5,12.5,18.75,6.25,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.99,218.86,239.28,247.31,,,,,,
18016,2019,2,24,2405702,2,24075957,3,1,52.5,66.7,,N�vel III,10.0,8.0,0.8,,,,,,,,,,,,,,,,,,,,,,15.0,12.0,0.8,16.67,16.67,25.0,0.0,25.0,16.67,0.0,0.0,0.0,25.0,8.33,8.33,8.33,41.67,0.0,8.33,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.26,253.31,,,,,,
18017,2019,2,24,2405801,2,24038261,2,1,100.0,89.9,,N�vel III,31.0,23.0,0.7419354839,,,,,,,,,,,,,,,,,,,,,,64.0,55.0,0.859375,29.58,24.01,19.76,9.02,10.74,6.9,0.0,0.0,0.0,36.67,16.31,12.86,9.22,8.82,16.11,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.89,227.43,,,,,,
18018,2019,2,24,2405801,2,24038288,2,1,,,91.7,N�vel III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,77.0,0.8020833333,19.78,9.81,19.68,24.79,12.77,9.33,2.69,1.15,0.0,12.0,14.3,22.21,12.64,27.74,7.41,2.42,1.27,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,96.0,77.0,0.8020833333,19.78,9.81,19.68,24.79,12.77,9.33,2.69,1.15,0.0,12.0,14.3,22.21,12.64,27.74,7.41,2.42,1.27,0.0,0.0,0.0,,,,,272.47,277.06,,,272.47,277.06
18019,2019,2,24,2405801,2,24038350,3,1,74.5,,,N�vel III,59.0,54.0,0.9152542373,14.65,22.62,36.48,9.3,9.54,3.82,3.59,0.0,0.0,0.0,3.59,9.37,37.04,29.18,13.19,3.82,3.82,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.24,179.03,,,,,,,,
